iteration,temperature,current_cost,best_cost,accepted,reason,move
174,41.80382776616616,217,203,True,soft_constraint_evaluation,swap 25<->28
175,41.594808627335325,217,203,False,hard_constraint_violation,relocate 36
176,41.386834584198645,217,203,False,hard_constraint_violation,relocate 70
177,41.17990041127765,217,203,False,hard_constraint_violation,swap 25<->40
178,40.97400090922126,217,203,False,hard_constraint_violation,swap 41<->2
179,40.76913090467515,217,203,False,hard_constraint_violation,relocate 17
180,40.565285250151774,217,203,True,soft_constraint_evaluation,swap 73<->40
181,40.362458823901015,217,203,False,hard_constraint_violation,swap 65<->14
182,40.16064652978151,217,203,False,hard_constraint_violation,relocate 38
183,39.9598432971326,217,203,False,hard_constraint_violation,swap 75<->37
184,39.760044080646935,217,203,False,hard_constraint_violation,relocate 33
185,39.5612438602437,217,203,False,hard_constraint_violation,swap 54<->65
186,39.36343764094248,217,203,False,hard_constraint_violation,swap 20<->41
187,39.16662045273777,217,203,False,hard_constraint_violation,swap 16<->74
188,38.970787350474076,217,203,False,hard_constraint_violation,relocate 29
189,38.7759334137217,217,203,False,soft_constraint_evaluation,swap 75<->76
190,38.582053746653095,217,203,False,hard_constraint_violation,swap 13<->27
191,38.38914347791983,217,203,False,hard_constraint_violation,swap 37<->76
192,38.19719776053023,217,203,False,hard_constraint_violation,swap 21<->1
193,38.00621177172758,217,203,False,hard_constraint_violation,swap 75<->37
194,37.81618071286894,217,203,False,hard_constraint_violation,swap 76<->37
195,37.627099809304596,217,203,False,hard_constraint_violation,swap 38<->76
196,37.43896431025807,211,203,True,soft_constraint_evaluation,swap 20<->35
197,37.251769488706785,211,203,False,hard_constraint_violation,relocate 10
198,37.06551064126325,211,203,False,hard_constraint_violation,swap 75<->38
199,36.88018308805694,211,203,False,hard_constraint_violation,swap 76<->38
200,36.69578217261665,211,203,False,hard_constraint_violation,swap 76<->37
201,36.51230326175357,216,203,True,soft_constraint_evaluation,swap 75<->76
202,36.32974174544481,216,203,False,hard_constraint_violation,swap 35<->6
203,36.14809303671758,216,203,False,hard_constraint_violation,relocate 23
204,35.96735257153399,216,203,False,hard_constraint_violation,swap 75<->37
205,35.787515808676325,216,203,False,hard_constraint_violation,relocate 58
206,35.60857822963294,216,203,False,hard_constraint_violation,relocate 63
207,35.43053533848477,216,203,False,hard_constraint_violation,swap 37<->76
208,35.25338266179235,211,203,True,soft_constraint_evaluation,swap 75<->76
209,35.077115748483386,211,203,False,hard_constraint_violation,relocate 73
210,34.90173016974097,211,203,False,hard_constraint_violation,swap 75<->38
211,34.727221518892264,211,203,False,hard_constraint_violation,swap 37<->75
212,34.5535854112978,211,203,False,hard_constraint_violation,relocate 62
213,34.38081748424131,216,203,True,soft_constraint_evaluation,swap 76<->75
214,34.20891339682011,216,203,False,hard_constraint_violation,swap 38<->76
215,34.03786882983601,216,203,False,hard_constraint_violation,swap 37<->76
216,33.86767948568683,216,203,False,hard_constraint_violation,relocate 31
217,33.698341088258395,216,203,False,hard_constraint_violation,swap 73<->55
218,33.529849382817105,216,203,False,hard_constraint_violation,swap 62<->16
219,33.36220013590302,218,203,True,soft_constraint_evaluation,swap 66<->40
220,33.1953891352235,218,203,False,hard_constraint_violation,swap 76<->37
221,33.02941218954738,218,203,False,hard_constraint_violation,swap 52<->25
222,32.86426512859964,218,203,False,hard_constraint_violation,relocate 68
223,32.69994380295664,218,203,False,hard_constraint_violation,relocate 36
224,32.53644408394186,213,203,True,soft_constraint_evaluation,swap 37<->38
225,32.37376186352215,213,203,False,hard_constraint_violation,relocate 76
226,32.21189305420454,213,203,False,hard_constraint_violation,relocate 65
227,32.050833588933514,213,203,False,hard_constraint_violation,swap 75<->38
228,31.890579420988846,213,203,False,hard_constraint_violation,swap 76<->38
229,31.7311265238839,213,203,False,hard_constraint_violation,relocate 31
230,31.57247089126448,218,203,True,soft_constraint_evaluation,swap 37<->38
231,31.414608536808156,218,203,False,hard_constraint_violation,relocate 51
232,31.257535494124117,218,203,False,hard_constraint_violation,relocate 20
233,31.101247816653498,218,203,False,hard_constraint_violation,relocate 17
234,30.94574157757023,218,203,False,hard_constraint_violation,relocate 45
235,30.79101286968238,218,203,False,hard_constraint_violation,relocate 59
236,30.637057805333967,218,203,False,hard_constraint_violation,swap 37<->75
237,30.483872516307297,218,203,False,hard_constraint_violation,swap 10<->63
238,30.33145315372576,218,203,False,hard_constraint_violation,relocate 34
239,30.17979588795713,213,203,True,soft_constraint_evaluation,swap 37<->38
240,30.028896908517346,213,203,False,hard_constraint_violation,relocate 71
241,29.87875242397476,213,203,False,hard_constraint_violation,relocate 65
242,29.729358661854885,213,203,False,hard_constraint_violation,swap 31<->39
243,29.58071186854561,213,203,False,hard_constraint_violation,relocate 12
244,29.43280830920288,213,203,False,hard_constraint_violation,relocate 13
245,29.285644267656867,213,203,False,hard_constraint_violation,swap 37<->76
246,29.139216046318584,213,203,False,hard_constraint_violation,swap 40<->48
247,28.99351996608699,213,203,False,hard_constraint_violation,swap 32<->70
248,28.848552366256556,213,203,True,soft_constraint_evaluation,swap 22<->23
249,28.704309604425273,213,203,False,hard_constraint_violation,swap 38<->76
250,28.560788056403148,213,203,True,soft_constraint_evaluation,relocate 19
251,28.417984116121133,213,203,False,hard_constraint_violation,swap 76<->38
252,28.275894195540527,208,203,True,soft_constraint_evaluation,swap 75<->76
253,28.134514724562823,202,202,True,soft_constraint_evaluation,swap 59<->47
254,27.993842150940008,202,202,False,hard_constraint_violation,relocate 41
255,27.85387294018531,202,202,False,hard_constraint_violation,swap 75<->37
256,27.714603575484382,202,202,False,hard_constraint_violation,relocate 64
257,27.57603055760696,207,202,True,soft_constraint_evaluation,swap 75<->76
258,27.438150404818924,207,202,False,hard_constraint_violation,relocate 53
259,27.30095965279483,207,202,False,hard_constraint_violation,swap 66<->39
260,27.164454854530856,207,202,False,hard_constraint_violation,relocate 30
261,27.0286325802582,207,202,False,hard_constraint_violation,relocate 29
262,26.89348941735691,207,202,False,hard_constraint_violation,swap 13<->6
263,26.759021970270126,207,202,False,hard_constraint_violation,swap 37<->75
264,26.625226860418774,207,202,False,hard_constraint_violation,swap 12<->40
265,26.49210072611668,212,202,True,soft_constraint_evaluation,swap 38<->37
266,26.359640222486096,212,202,False,hard_constraint_violation,swap 75<->37
267,26.227842021373664,207,202,True,soft_constraint_evaluation,swap 75<->76
268,26.096702811266795,207,202,False,hard_constraint_violation,relocate 15
269,25.96621929721046,207,202,True,soft_constraint_evaluation,relocate 19
270,25.836388200724407,207,202,False,hard_constraint_violation,relocate 53
271,25.707206259720785,202,202,True,soft_constraint_evaluation,swap 37<->38
272,25.57867022842218,207,202,True,soft_constraint_evaluation,swap 75<->76
273,25.45077687728007,207,202,False,hard_constraint_violation,swap 75<->37
274,25.32352299289367,207,202,False,hard_constraint_violation,swap 37<->75
275,25.1969053779292,207,202,False,hard_constraint_violation,relocate 74
276,25.070920851039553,207,202,False,hard_constraint_violation,relocate 29
277,24.945566246784356,202,202,True,soft_constraint_evaluation,swap 75<->76
278,24.820838415550433,202,202,True,soft_constraint_evaluation,swap 6<->5
279,24.69673422347268,202,202,False,hard_constraint_violation,swap 37<->76
280,24.57325055235532,202,202,True,soft_constraint_evaluation,swap 52<->61
281,24.45038429959354,202,202,False,hard_constraint_violation,swap 38<->76
282,24.328132378095574,202,202,False,hard_constraint_violation,swap 76<->38
283,24.206491716205097,202,202,False,hard_constraint_violation,swap 38<->76
284,24.08545925762407,202,202,False,hard_constraint_violation,swap 49<->13
285,23.96503196133595,202,202,False,hard_constraint_violation,relocate 50
286,23.84520680152927,202,202,False,hard_constraint_violation,relocate 48
287,23.725980767521623,202,202,True,soft_constraint_evaluation,swap 16<->61
288,23.607350863684015,202,202,True,soft_constraint_evaluation,swap 3<->7
289,23.489314109365594,202,202,False,hard_constraint_violation,relocate 32
290,23.371867538818766,202,202,False,hard_constraint_violation,relocate 27
291,23.25500820112467,202,202,False,hard_constraint_violation,relocate 73
292,23.13873316011905,202,202,False,hard_constraint_violation,swap 45<->19
293,23.023039494318454,202,202,False,hard_constraint_violation,relocate 1
294,22.90792429684686,202,202,False,hard_constraint_violation,relocate 19
295,22.793384675362628,202,202,False,hard_constraint_violation,swap 15<->4
296,22.679417751985813,202,202,False,hard_constraint_violation,swap 38<->75
297,22.566020663225885,202,202,False,hard_constraint_violation,swap 34<->7
298,22.453190559909757,202,202,False,hard_constraint_violation,swap 37<->75
299,22.340924607110207,207,202,True,soft_constraint_evaluation,swap 75<->76
300,22.229219984074657,207,202,False,hard_constraint_violation,swap 6<->69
301,22.118073884154285,207,202,False,hard_constraint_violation,swap 8<->64
302,22.00748351473351,207,202,False,hard_constraint_violation,relocate 57
303,21.897446097159843,207,202,False,hard_constraint_violation,swap 37<->76
304,21.787958866674042,207,202,False,hard_constraint_violation,swap 9<->17
305,21.679019072340672,202,202,True,soft_constraint_evaluation,swap 76<->75
306,21.57062397697897,202,202,False,hard_constraint_violation,swap 76<->37
307,21.462770857094075,202,202,False,hard_constraint_violation,relocate 15
308,21.355457002808603,202,202,False,hard_constraint_violation,relocate 28
309,21.24867971779456,205,202,True,soft_constraint_evaluation,swap 55<->46
310,21.142436319205586,205,202,False,hard_constraint_violation,swap 43<->57
311,21.036724137609557,205,202,False,hard_constraint_violation,swap 75<->37
312,20.93154051692151,205,202,False,hard_constraint_violation,swap 37<->76
313,20.8268828143369,205,202,False,hard_constraint_violation,relocate 12
314,20.722748400265218,205,202,False,hard_constraint_violation,swap 38<->75
315,20.619134658263892,210,202,True,soft_constraint_evaluation,swap 37<->38
